Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Abraham,CHE,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Adam Smith,BOU,DEF,45,70.1,171.8,51.0,29.3,11,1,0,0,0,0,0,1,1,1.1,936,0,36
Adrian,WHU,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Aguero,MCI,FWD,114,244.9,350.8,696.0,129.1,4,7,6,0,0,0,0,2,0,51.8,801,8,73
Ake,BOU,DEF,50,11.2,277.6,120.0,40.9,14,1,0,0,0,0,0,0,0,4.9,990,4,42
Albrighton,LEI,MID,52,135.7,119.0,105.0,36.0,7,1,1,0,0,0,0,1,0,0.5,432,0,21
Alderweireld,TOT,DEF,59,34.8,197.8,59.0,29.1,9,0,0,0,0,0,0,1,0,2.7,890,1,33
Alexander-Arnold,LIV,DEF,50,162.0,151.6,84.0,39.7,4,0,1,0,0,0,0,3,0,17.6,805,2,40
Alisson,LIV,GKP,57,0.0,188.8,0.0,18.8,5,0,0,0,0,0,22,0,0,20.2,990,1,50
Alli,TOT,MID,89,59.1,115.0,198.0,37.3,5,1,1,0,0,0,0,0,0,2.6,376,2,21
Alonso,CHE,DEF,70,228.6,260.6,186.0,67.6,8,1,7,0,0,0,0,1,0,47.1,990,12,78
Amartey,LEI,MID,44,46.7,139.0,21.0,20.8,9,0,0,0,0,0,0,2,0,0.2,639,0,15
Amos,TOT,MID,44,0.1,2.2,0.0,0.2,0,0,0,0,0,0,0,0,0,0.1,2,0,1
Ampadu,CHE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Andone,BHA,FWD,50,0.2,2.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0.1,13,0,1
Andre Gomes,EVE,MID,54,26.1,20.6,42.0,8.9,3,0,0,0,0,0,0,0,0,0.1,261,0,7
Antonio,WHU,MID,68,76.0,68.2,237.0,38.3,6,0,1,0,0,0,0,1,0,0.8,404,0,18
Armstrong,SOU,MID,51,49.5,21.0,25.0,9.6,4,0,0,0,0,0,0,0,0,0.1,151,0,7
Arnautovic,WHU,FWD,71,170.3,244.0,425.0,83.5,13,5,2,0,0,0,0,2,0,21.0,719,9,50
Arter,CAR,MID,49,74.6,82.6,44.0,20.2,16,0,0,0,0,0,0,5,0,0.2,748,0,14
Atsu,NEW,MID,52,61.3,36.8,8.0,10.6,3,0,0,0,0,0,0,1,0,0.1,186,0,6
Aubameyang,ARS,FWD,109,144.4,300.0,339.0,78.3,10,7,2,0,0,0,0,0,0,16.0,760,11,65
Aurier,TOT,DEF,58,21.1,32.8,4.0,5.8,1,0,1,0,0,0,0,0,0,0.6,104,0,6
Austin,SOU,FWD,55,51.4,43.6,128.0,21.9,3,0,0,0,1,0,0,0,0,0.4,403,0,10
Ayew,CRY,FWD,58,69.1,37.6,125.0,23.2,5,0,1,0,0,0,0,1,0,0.2,469,0,15
