Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Adam Smith,BOU,DEF,45,345.5,455.0,144.0,94.5,38,1,3,0,0,0,0,6,0,0.3,2067,3,56
Adrian,WHU,GKP,45,0.0,470.4,0.0,47.0,29,0,0,0,0,0,69,2,0,0.6,1710,5,72
Aguero,MCI,FWD,110,570.8,966.4,1484.0,302.5,12,21,6,0,0,0,0,2,0,12.6,1960,22,169
Ake,BOU,DEF,50,115.1,932.4,287.0,133.5,59,2,3,0,0,0,0,5,0,5.7,3352,8,102
Albrighton,LEI,MID,55,718.3,580.0,300.0,160.2,42,2,8,0,0,0,0,5,1,1.1,2533,12,107
Alderweireld,TOT,DEF,60,67.8,249.2,50.0,36.8,13,0,0,0,0,0,0,3,0,3.6,1177,3,43
Alexander-Arnold,LIV,DEF,50,399.2,358.2,142.0,90.1,17,1,2,0,0,0,0,3,0,16.8,1573,10,83
Alisson,LIV,GKP,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,8.8,0,0,0
Alli,TOT,MID,90,878.5,775.2,934.0,258.8,28,9,13,0,0,0,0,7,0,3.6,2957,12,175
Alonso,CHE,DEF,65,549.6,697.8,822.0,207.1,30,7,2,0,0,0,0,6,0,16.9,2855,15,165
Amartey,LEI,MID,45,10.3,81.2,0.0,9.2,7,0,0,0,0,0,0,0,1,0.2,486,0,13
Ampadu,CHE,MID,45,0.0,7.4,0.0,0.7,1,0,0,0,0,0,0,0,0,0.0,10,0,1
Andone,BHA,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Antonio,WHU,MID,70,256.3,296.6,393.0,94.6,23,3,2,0,0,0,0,1,0,4.1,1350,1,62
Armstrong,SOU,MID,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Arnautovic,WHU,FWD,70,543.0,713.8,1155.0,241.1,50,11,7,0,0,0,0,5,1,24.4,2309,12,144
Arter,BOU,MID,50,76.1,146.0,69.0,29.2,13,1,0,0,0,0,0,4,0,0.5,959,0,27
Atsu,NEW,MID,55,340.6,308.8,480.0,112.9,22,2,4,0,0,0,0,1,0,0.1,1776,5,78
Aubameyang,ARS,FWD,110,207.1,484.0,580.0,127.1,15,10,4,0,1,0,0,0,0,25.0,1056,12,87
Aurier,TOT,DEF,60,236.5,367.2,209.0,81.4,13,2,2,0,0,0,0,1,1,1.8,1427,9,77
Austin,SOU,FWD,60,89.4,302.8,689.0,107.7,15,7,1,0,0,0,0,2,0,2.7,1024,9,72
Ayite,FUL,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Azpilicueta,CHE,DEF,65,535.7,967.4,168.0,167.5,38,2,6,1,0,0,0,1,0,15.8,3330,25,175
Bacuna,HUD,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Bailly,MUN,DEF,55,28.4,222.0,79.0,33.0,6,1,0,1,0,0,0,2,0,5.3,1000,3,55
Baines,EVE,DEF,55,373.5,407.4,102.0,88.2,34,2,3,0,0,0,0,1,0,2.5,1909,10,82
Bakayoko,CHE,MID,50,279.5,415.4,434.0,113.2,24,2,2,0,0,0,0,3,1,0.3,2121,5,77
